id_municipio_tjsp,raj,municipio_tjsp,comarca_tjsp,comarca_sede,imoveis
6530,5ª RAJ Presidente Prudente,Anhumas,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
6530,5ª RAJ Presidente Prudente,Anhumas,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
6534,10ª RAJ Sorocaba,Araçariguama,São Roque,0,Fórum São Roque I
6550,5ª RAJ Presidente Prudente,Assis,Assis,1,Fórum Assis I - Dr. José Claudino de Oliveira Dias
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras - (Des.Manoel Carlos  da Costa Leite)
6541,4ª RAJ Campinas,Araras,Araras,1,Forum Araras II - ANEXO FISCAL
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras III (CEJUSC na Universidade de Araras - UNAR)
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras IV (CEJUSC)
6541,4ª RAJ Campinas,Araras,Araras,1,Fórum Araras V - (Anexo da Violência Doméstica)
6531,9ª RAJ São José dos Campos,Aparecida,Aparecida,1,Fórum Aparecida
6535,2ª RAJ Araçatuba,Araçatuba,Araçatuba,1,Fórum Araçatuba I - PRINCIPAL
6535,2ª RAJ Araçatuba,Araçatuba,Araçatuba,1,Forum Araçatuba V - Serviço de Atendimento Psicossocial
6537,6ª RAJ Ribeirão Preto,Aramina,Igarapava,0,"Fórum ""David Pimentel"""
6560,10ª RAJ Sorocaba,Barão de Antonina,Itaporanga,0,Fórum Itaporanga- DESEMBARGADOR PLÍNIO DE CARVALHO PINTO
6538,3ª RAJ Bauru,Arandu,Avaré,0,Fórum Avaré - I
6538,3ª RAJ Bauru,Arandu,Avaré,0,Fórum Avaré - II (CEJUSC)
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru - UPJ 1ª E 2ª VARAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHE
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru I - (Principal)
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru II - Fazenda Pública e Família e Sucessões
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru IV - DARAJ - SAS - IMESC - DEECRIM - Aud.Custódia
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru VII - (Prédio Cedido)
6543,3ª RAJ Bauru,Arealva,Bauru,0,Fórum Bauru VIII - (Prédio Cedido)
6559,9ª RAJ São José dos Campos,Bananal,Bananal,1,DR JOSÉ RANGEL DE ALMEIDA
6542,5ª RAJ Presidente Prudente,Arco-Íris,Tupã,0,Fórum Tupã I
6536,10ª RAJ Sorocaba,Araçoiaba da Serra,Sorocaba,0,Fórum Sorocaba I - Ministro Piza e Almeida
6536,10ª RAJ Sorocaba,Araçoiaba da Serra,Sorocaba,0,Prédio do CEJUSC I Sorocaba
6536,10ª RAJ Sorocaba,Araçoiaba da Serra,Sorocaba,0,Prédio do CEJUSC IX Sorocaba - Araçoiaba da Serra
6536,10ª RAJ Sorocaba,Araçoiaba da Serra,Sorocaba,0,Prédio do Juizado Especial Cível VII Sorocaba – anexo FADI
6556,8ª RAJ São José do Rio Preto,Bady Bassitt,São José do Rio Preto,0,Fórum São José do Rio Preto I - (Central)
6556,8ª RAJ São José do Rio Preto,Bady Bassitt,São José do Rio Preto,0,"Fórum São José do Rio Preto II - (Cível, Fazenda e DARAJ 8)"
6556,8ª RAJ São José do Rio Preto,Bady Bassitt,São José do Rio Preto,0,"Fórum São José do Rio Preto III - (Família, JEC e Infância)"
6554,2ª RAJ Araçatuba,Avanhandava,Penápolis,0,Fórum Penápolis I -
6554,2ª RAJ Araçatuba,Avanhandava,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
6545,3ª RAJ Bauru,Areiópolis,São Manuel,0,"Fórum Desembargador ""Julio César de Faria"""
6545,3ª RAJ Bauru,Areiópolis,São Manuel,0,Fórum São Manuel II (Arquivo)
6545,3ª RAJ Bauru,Areiópolis,São Manuel,0,Fórum São Manuel III (CEJUSC)
6545,3ª RAJ Bauru,Areiópolis,São Manuel,0,Fórum São Manuel IV (Anexo do JEC - UAAJ - AREIÓPOLIS)
6549,0ª RAJ Sem Região,Aspásia,Urânia,0,Fórum da Comarca de Urânia I
6549,0ª RAJ Sem Região,Aspásia,Urânia,0,Fórum da Comarca de Urânia II (Cejusc)
6551,4ª RAJ Campinas,Atibaia,Atibaia,1,CEJUSC Atibaia
6551,4ª RAJ Campinas,Atibaia,Atibaia,1,"Fórum ""Dr. Álvaro Correia Lima"""
6533,10ª RAJ Sorocaba,Apiaí,Apiaí,1,Fórum Apiaí - Des. Déscio Mendes Pereira
6539,9ª RAJ São José dos Campos,Arapeí,Bananal,0,DR JOSÉ RANGEL DE ALMEIDA
6552,2ª RAJ Araçatuba,Auriflama,Auriflama,1,Fórum Auriflama - (Ministro Domingos Franciulli Neto)
6544,9ª RAJ São José dos Campos,Areias,Queluz,0,Fórum Desembargador Ferreira França
6544,9ª RAJ São José dos Campos,Areias,Queluz,0,Fórum II Queluz (Arquivo)
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Fernando de Albuquerque Prado
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá II
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Forum Arujá III (Setor Técnico)
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá IV - Execuções Fiscais
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá V (Salão do Júri)
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá VI - Juizado Especial Cível e Criminal
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá VII - Deposito de Material e Arquivo de Processos
6548,1ª RAJ Grande São Paulo,Arujá,Arujá,1,Fórum Arujá VIII - Cejusc
6555,3ª RAJ Bauru,Avaré,Avaré,1,Fórum Avaré - I
6555,3ª RAJ Bauru,Avaré,Avaré,1,Fórum Avaré - II (CEJUSC)
6546,8ª RAJ São José do Rio Preto,Ariranha,Santa Adélia,0,Fórum de Santa Adélia I
6546,8ª RAJ São José do Rio Preto,Ariranha,Santa Adélia,0,Fórum de Santa Adélia II (JEC/Jecrim/Arquivo/Cejusc)
6547,4ª RAJ Campinas,Artur Nogueira,Artur Nogueira,1,Fórum Artur Nogueira
6547,4ª RAJ Campinas,Artur Nogueira,Artur Nogueira,1,Fórum Artur Nogueira (CEJUSC)
6561,2ª RAJ Araçatuba,Barbosa,Penápolis,0,Fórum Penápolis I -
6561,2ª RAJ Araçatuba,Barbosa,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
6558,8ª RAJ São José do Rio Preto,Bálsamo,Mirassol,0,CEJUSC - Mirassol
6558,8ª RAJ São José do Rio Preto,Bálsamo,Mirassol,0,Fórum de Mirassol I
6558,8ª RAJ São José do Rio Preto,Bálsamo,Mirassol,0,Fórum Mirassol - Anexo Fiscal
6557,3ª RAJ Bauru,Balbinos,Pirajuí,0,Fórum Pirajuí  (Alexandre Delphino Amorim Lima)
6570,6ª RAJ Ribeirão Preto,Batatais,Batatais,1,Fórum Batatais
6570,6ª RAJ Ribeirão Preto,Batatais,Batatais,1,Fórum Batatais II - Juizado Especial Cível e Criminal
6570,6ª RAJ Ribeirão Preto,Batatais,Batatais,1,Fórum Batatais III - CEJUSC
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru - UPJ 1ª E 2ª VARAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHE
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru I - (Principal)
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru II - Fazenda Pública e Família e Sucessões
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru IV - DARAJ - SAS - IMESC - DEECRIM - Aud.Custódia
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru VII - (Prédio Cedido)
6553,3ª RAJ Bauru,Avaí,Bauru,0,Fórum Bauru VIII - (Prédio Cedido)
6562,3ª RAJ Bauru,Bariri,Bariri,1,"FORUM ""DR. JOAQUIM FERNANDO PAES DE BARROS NETTO"""
6562,3ª RAJ Bauru,Bariri,Bariri,1,Fórum Bariri II
6562,3ª RAJ Bauru,Bariri,Bariri,1,Residência Oficial - cedida para Prefeitura Municipal de Bariri-19ª Zona Eleitor
6566,8ª RAJ São José do Rio Preto,Barretos,Barretos,1,Fórum I Barretos
6566,8ª RAJ São José do Rio Preto,Barretos,Barretos,1,Fórum III Barretos (Anexo do Juizado Especial Cível - UNIFEB)
6564,10ª RAJ Sorocaba,Barra do Chapéu,Apiaí,0,Fórum Apiaí - Des. Déscio Mendes Pereira
6563,3ª RAJ Bauru,Barra Bonita,Barra Bonita,1,Fórum I Barra Bonita
6563,3ª RAJ Bauru,Barra Bonita,Barra Bonita,1,Fórum II Barra Bonita (CEJUSC)
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru - UPJ 1ª E 2ª VARAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHE
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru I - (Principal)
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru II - Fazenda Pública e Família e Sucessões
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru IV - DARAJ - SAS - IMESC - DEECRIM - Aud.Custódia
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru VII - (Prédio Cedido)
6571,3ª RAJ Bauru,Bauru,Bauru,1,Fórum Bauru VIII - (Prédio Cedido)
6568,1ª RAJ Grande São Paulo,Barueri,Barueri,1,Fórum Barueri i - (Prédio Novo)
6568,1ª RAJ Grande São Paulo,Barueri,Barueri,1,Fórum Barueri II - (CEJUSC)
6567,6ª RAJ Ribeirão Preto,Barrinha,Sertãozinho,0,Fórum Sertãozinho I
6567,6ª RAJ Ribeirão Preto,Barrinha,Sertãozinho,0,Fórum Sertãozinho II - CEJUSC / SEF
6565,7ª RAJ Santos,Barra do Turvo,Jacupiranga,0,Fórum Jacupiranga I
6574,0ª RAJ Sem Região,Bernardino de Campos,Ipaussu,0,Fórum Ipaussu III (Terreno)
6574,0ª RAJ Sem Região,Bernardino de Campos,Ipaussu,0,Fórum Ipaussu IV
6573,2ª RAJ Araçatuba,Bento de Abreu,Valparaíso,0,Fórum Desembargador Antonio Marzagão Barbuto
6573,2ª RAJ Araçatuba,Bento de Abreu,Valparaíso,0,Juizado Especial Cível da Comarca de Valparaíso
6577,2ª RAJ Araçatuba,Birigui,Birigui,1,Fórum I Birigüi
6577,2ª RAJ Araçatuba,Birigui,Birigui,1,Fórum II Birigui (Depósito)
6576,2ª RAJ Araçatuba,Bilac,Bilac,1,Fórum Bilac (Residência Oficial)
6576,2ª RAJ Araçatuba,Bilac,Bilac,1,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho)
6572,8ª RAJ São José do Rio Preto,Bebedouro,Bebedouro,1,Fórum Bebedouro - Desembargador Adriano Marrey
6572,8ª RAJ São José do Rio Preto,Bebedouro,Bebedouro,1,Fórum Bebedouro (Anexo do Juizado Especial - UNIFAFIBE)
6572,8ª RAJ São José do Rio Preto,Bebedouro,Bebedouro,1,Fórum Bebedouro (Juizado Especial)
6572,8ª RAJ São José do Rio Preto,Bebedouro,Bebedouro,1,Fórum Bebedouro (Residência Oficial)
6569,5ª RAJ Presidente Prudente,Bastos,Bastos,1,Foro da Comarca de Bastos
6588,3ª RAJ Bauru,Borebi,Lençóis Paulista,0,Fórum Lençóis Paulista I - (Octávio Pinheiro Brizola)
6588,3ª RAJ Bauru,Borebi,Lençóis Paulista,0,Setor das Execuções Fiscais da Comarca de Lençóis Paulista
6588,3ª RAJ Bauru,Borebi,Lençóis Paulista,0,Centro Judiciário de Solução de Conflitos e Cidadania da Comarca de Lençóis Pta.
6594,4ª RAJ Campinas,Brotas,Brotas,1,Fórum Brotas - Desembargador Júlio D´Elboux Guimarães
6575,7ª RAJ Santos,Bertioga,Bertioga,1,Fórum da Comarca de Bertioga
6579,6ª RAJ Ribeirão Preto,Boa Esperança do Sul,Ribeirão Bonito,0,Fórum I Ribeirão Bonito
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,"Fórum I Leôncio Arouche de Toledo (Cível, V. Infância e Juventude, JEC e JECRIM)"
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,Fórum II de Mogi das Cruzes - Braz Cubas (Criminal)
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,Forum III de Mogi das Cruzes (Fazenda Pública)
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,Fórum IV Mogi das Cruzes (CEJUSC - UMC)
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,Fórum V Mogi das Cruzes (Juizado Itinerante - Biritiba Mirim)
6578,1ª RAJ Grande São Paulo,Biritiba-Mirim,Mogi das Cruzes,0,Fórum VI Mogi das Cruzes (Universidade Braz Cubas)
6581,10ª RAJ Sorocaba,Bofete,Porangaba,0,Fórum Porangaba I
6581,10ª RAJ Sorocaba,Bofete,Porangaba,0,Fórum Porangaba II (Anexo do JEC - UAAJ - BOFETE)
6581,10ª RAJ Sorocaba,Bofete,Porangaba,0,Fórum Porangaba III (Anexo do JEC - UAAJ - GUAREÍ)
6589,3ª RAJ Bauru,Botucatu,Botucatu,1,Fórum Desembargador Alcides de Almeida Ferrari
6580,3ª RAJ Bauru,Bocaina,Jaú,0,Fórum Jaú I
6580,3ª RAJ Bauru,Bocaina,Jaú,0,Fórum Jaú I - Antonio Hermógenes Altenfelder Silva
6580,3ª RAJ Bauru,Bocaina,Jaú,0,Fórum Jaú III (Anexo do JEC - FJAU)
6586,3ª RAJ Bauru,Boracéia,Pederneiras,0,Fórum Pederneiras I
