id_municipio_tjsp,raj,comarca_tjsp,unidades,comarca_tjsp_temp
6571,3ª RAJ Bauru,Bauru,Fórum Bauru IV - DARAJ - SAS - IMESC - DEECRIM - Aud.Custódia,bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru VII - (Prédio Cedido),bauru
6571,3ª RAJ Bauru,Bauru,Fórum Bauru VIII - (Prédio Cedido),bauru
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro - Desembargador Adriano Marrey,bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Anexo do Juizado Especial - UNIFAFIBE),bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Juizado Especial),bebedouro
6572,8ª RAJ São José do Rio Preto,Bebedouro,Fórum Bebedouro (Residência Oficial),bebedouro
6575,7ª RAJ Santos,Bertioga,Fórum da Comarca de Bertioga,bertioga
6576,2ª RAJ Araçatuba,Bilac,Fórum Bilac (Residência Oficial),bilac
6576,2ª RAJ Araçatuba,Bilac,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho),bilac
6577,2ª RAJ Araçatuba,Birigui,Fórum I Birigüi,birigui
6577,2ª RAJ Araçatuba,Birigui,Fórum II Birigui (Depósito),birigui
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva I  (Ofícios Judiciais),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva II - (Juizado Especial),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva III - Anexo Fiscal/Setor Técnico,boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva IV  (UAAJ - Juizado Especial - Iperó),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva V - (Arquivo JEC),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva VI - (CEJUSC),boituva
6582,10ª RAJ Sorocaba,Boituva,Fórum Boituva VII - (CEJUSC),boituva
6587,6ª RAJ Ribeirão Preto,Borborema,"Fórum ""Desembargador Antonio Luis Chaves Camargo""",borborema
6587,6ª RAJ Ribeirão Preto,Borborema,Forum de Borborema - Juizado Especial Civel e Criminal,borborema
6589,3ª RAJ Bauru,Botucatu,Fórum Desembargador Alcides de Almeida Ferrari,botucatu
6590,4ª RAJ Campinas,Bragança Paulista,Fórum Bragança Paulista - Professor Waldemar Martins Ferreira,braganca paulista
6590,4ª RAJ Campinas,Bragança Paulista,Fórum Bragança Paulista III - (CEJUSC),braganca paulista
6593,6ª RAJ Ribeirão Preto,Brodowski,Fórum I Brodowski,brodowski
6593,6ª RAJ Ribeirão Preto,Brodowski,Fórum II Brodowski (CEJUSC),brodowski
6594,4ª RAJ Campinas,Brotas,Fórum Brotas - Desembargador Júlio D´Elboux Guimarães,brotas
6595,10ª RAJ Sorocaba,Buri,Fórum da Comarca de Buri,buri
6596,2ª RAJ Araçatuba,Buritama,Fórum Buritama,buritama
6599,10ª RAJ Sorocaba,Cabreúva,"Fórum ""Desembargador Geraldo de Faria Lemos Pinheiro""",cabreuva
6601,9ª RAJ São José dos Campos,Cachoeira Paulista,Ministro José Rodrigues Alves Sobrinho,cachoeira paulista
6601,9ª RAJ São José dos Campos,Cachoeira Paulista,Cejusc,cachoeira paulista
6602,6ª RAJ Ribeirão Preto,Caconde,Fórum Caconde  II -  (Juizado Especial Cível e Criminal),caconde
6602,6ª RAJ Ribeirão Preto,Caconde,Fórum Caconde  III -  (CEJUSC - Tapiratiba),caconde
6602,6ª RAJ Ribeirão Preto,Caconde,Fórum Caconde  IV -  (CEJUSC),caconde
6602,6ª RAJ Ribeirão Preto,Caconde,Fórum Caconde I - (Dr. Antônio de Queiroz Filho),caconde
6600,9ª RAJ São José dos Campos,Caçapava,FÓRUM CAÇAPAVA - JUIZADO ESPECIAL / SERVIÇO PSICO SOCIAL - RUA CÔNEGO RODOVALHO,cacapava
6600,9ª RAJ São José dos Campos,Caçapava,FORUM CAÇAPAVA - CRIMINAL / EXECUÇÃO FISCAL - RUA MARQUES DO HERVAL,cacapava
6600,9ª RAJ São José dos Campos,Caçapava,FÓRUM CAÇAPAVA - CÍVEL / CEJUSC - PRAÇA DA BANDEIRA,cacapava
6603,2ª RAJ Araçatuba,Cafelândia,Fórum Cafelândia I - (Principal),cafelandia
6603,2ª RAJ Araçatuba,Cafelândia,Fórum Cafelândia II - (JEC e CEJUSC),cafelandia
6603,2ª RAJ Araçatuba,Cafelândia,Fórum Cafelândia III - (JEC - UAAJ - JÚLIO MESQUITA ),cafelandia
6605,4ª RAJ Campinas,Caieiras,Fórum de Caieiras I,caieiras
6605,4ª RAJ Campinas,Caieiras,Fórum de Caieiras II,caieiras
6607,4ª RAJ Campinas,Cajamar,Fórum I Cajamar - (Desembargador Marcos Nogueira Garcez),cajamar
6607,4ª RAJ Campinas,Cajamar,Fórum II Cajamar - (CEJUSC),cajamar
6610,6ª RAJ Ribeirão Preto,Cajuru,Fórum Cajuru (Dr. Amaury Manço),cajuru
6612,4ª RAJ Campinas,Campinas,Foro Regional de Vila Mimosa - Campinas (Des. Antonio Carlos A. Braga),campinas
6612,4ª RAJ Campinas,Campinas,Fórum de Campinas - Cidade Judiciária,campinas
6612,4ª RAJ Campinas,Campinas,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas - UNISAL,campinas
6612,4ª RAJ Campinas,Campinas,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas FACAMP,campinas
6612,4ª RAJ Campinas,Campinas,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas - METROCAM,campinas
6613,4ª RAJ Campinas,Campo Limpo Paulista,Fórum de Campo Limpo Paulista,campo limpo paulista
6613,4ª RAJ Campinas,Campo Limpo Paulista,Fórum de Campo Limpo Paulista (Anexo),campo limpo paulista
6614,9ª RAJ São José dos Campos,Campos do Jordão,Fórum Campos do Jordão I - (Des.José Carlos de Macedo Soares),campos do jordao
6616,7ª RAJ Santos,Cananéia,Fórum Cananéia - JOAQUIM GUEDES ALCOFORADO,cananeia
6621,10ª RAJ Sorocaba,Capão Bonito,Anexo do JEC - UAAJ - GUAPIARA,capao bonito
6621,10ª RAJ Sorocaba,Capão Bonito,Fórum da Comarca de Capão Bonito,capao bonito
6623,4ª RAJ Campinas,Capivari,Fórum Capivari,capivari
6624,9ª RAJ São José dos Campos,Caraguatatuba,Fórum Caraguatatuba (CEJUSC),caraguatatuba
6624,9ª RAJ São José dos Campos,Caraguatatuba,Fórum  de Caraguatatuba,caraguatatuba
